,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
236,121,760.0,3.6,20.0,45.0,,47.5,,,50.0,,,40.0,,,,25.0,,,0.0,0.0,0.0,
237,122,700.0,2.9,,,30.0,40.0,,,25.0,,,37.5,,40.0,,,,25.0,1.0,0.0,0.0,
238,123,710.0,3.76,,,,,,,37.5,,,37.5,,50.0,,17.5,,25.0,0.0,0.0,0.0,
239,124,750.0,3.4,17.5,40.0,40.0,40.0,,,,,,,,,,35.0,,35.0,0.0,0.0,0.0,0.0
240,125,730.0,3.9,25.0,,,,,,,,,50.0,,,,35.0,,50.0,0.0,0.0,0.0,0.0
241,126,790.0,3.76,30.0,,,50.0,,,50.0,,,50.0,,,,45.0,,50.0,1.0,0.0,0.0,
242,127,710.0,3.85,30.0,,,50.0,,,,,,50.0,,,,35.0,,,0.0,0.0,0.0,0.0
243,128,700.0,3.6,,50.0,,,,60.0,,,,50.0,,,,30.0,,45.0,0.0,0.0,1.0,1.0
244,129,740.0,3.0,,,,,40.0,,35.0,,,,,,,17.5,,,0.0,0.0,0.0,
245,130,730.0,3.5,10.0,,,40.0,,50.0,,,,30.0,,,,22.5,,,0.0,0.0,0.0,
246,131,730.0,3.75,,,,,,,,,,,,,,27.5,,45.0,1.0,0.0,0.0,
247,132,700.0,3.25,,40.0,32.5,32.5,,30.0,,,,25.0,,42.5,,,,,0.0,0.0,0.0,
248,133,750.0,8.0,12.5,40.0,40.0,,,45.0,35.0,,,35.0,,,,17.5,,,0.0,0.0,0.0,0.0
249,134,700.0,3.9,25.0,,,,,,,,50.0,,,,,35.0,,45.0,0.0,0.0,0.0,1.0
250,135,690.0,3.3,,,,,30.0,,25.0,,,,,35.0,,10.0,35.0,,1.0,0.0,0.0,0.0
251,136,640.0,3.4,,,,15.0,,,,20.0,10.0,,,20.0,,,20.0,10.0,0.0,0.0,0.0,0.0
252,137,720.0,3.6,12.5,,45.0,,,,,,,,,50.0,50.0,27.5,,,0.0,0.0,1.0,1.0
253,138,770.0,2.5,20.0,,50.0,50.0,,50.0,,,,,,,,40.0,,50.0,1.0,0.0,0.0,0.0
254,139,730.0,3.63,30.0,,,50.0,,,,,,50.0,,,,45.0,,,0.0,0.0,0.0,
255,140,690.0,2.8,5.0,,,,,,,,,5.0,,,,5.0,,,0.0,0.0,0.0,
256,141,760.0,3.5,30.0,,50.0,,,,,,50.0,,,50.0,,,,40.0,1.0,0.0,0.0,
257,142,740.0,3.9,15.0,50.0,,,,,,,,40.0,50.0,,,25.0,,,0.0,0.0,0.0,
258,143,740.0,3.9,17.5,,,50.0,,,,,,45.0,,,,37.5,,45.0,0.0,0.0,0.0,0.0
259,144,,3.87,27.5,,50.0,,,,,,,50.0,,,,40.0,,50.0,0.0,0.0,0.0,0.0
260,145,740.0,4.0,30.0,,,,,,50.0,,,,,,,37.5,,50.0,0.0,0.0,1.0,0.0
261,146,710.0,3.32,,,40.0,30.0,,50.0,,50.0,,,,40.0,,,50.0,,0.0,0.0,0.0,0.0
262,147,780.0,3.87,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0
263,148,720.0,3.6,,,,50.0,,,50.0,,50.0,,,,,35.0,,,0.0,0.0,0.0,0.0
264,149,740.0,3.2,25.0,50.0,50.0,50.0,,,,,50.0,40.0,,,,35.0,,50.0,1.0,0.0,0.0,
265,150,710.0,3.4,15.0,45.0,,,,,,,40.0,,,,,20.0,,35.0,0.0,0.0,0.0,0.0
266,151,710.0,3.35,,,,,,,30.0,,,,,,,20.0,,30.0,0.0,0.0,0.0,1.0
267,152,700.0,,,20.0,15.0,,,15.0,15.0,,,,,,25.0,,,,0.0,0.0,0.0,0.0
268,153,,3.1,5.0,,20.0,20.0,20.0,,,,,,,,,10.0,,,0.0,0.0,0.0,0.0
269,154,740.0,3.8,10.0,,40.0,40.0,,,,,,37.5,,,,25.0,,,0.0,0.0,0.0,
270,155,750.0,3.95,20.0,40.0,45.0,45.0,,,40.0,,,37.5,,,,27.5,,,0.0,0.0,0.0,0.0
271,156,620.0,3.53,25.0,45.0,,,50.0,,45.0,,40.0,40.0,,,,42.5,,,0.0,1.0,1.0,0.0
272,157,760.0,7.1,,,45.0,,45.0,,45.0,,40.0,,,45.0,,,,,1.0,0.0,0.0,0.0
273,158,760.0,3.76,20.0,,45.0,45.0,,,,,50.0,,,,,35.0,,50.0,0.0,0.0,0.0,0.0
274,159,700.0,3.9,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
275,160,740.0,3.5,10.0,,45.0,,,,,,35.0,,,,,20.0,,35.0,1.0,0.0,0.0,1.0
276,161,,3.5,,,37.5,35.0,35.0,,,,,,35.0,40.0,,,,,0.0,0.0,0.0,1.0
277,162,730.0,3.0,40.0,,50.0,,,,,,50.0,,50.0,,,,50.0,,1.0,0.0,0.0,
278,163,760.0,3.9,35.0,,,,,,,,,50.0,,,,45.0,,50.0,1.0,0.0,0.0,0.0
279,164,700.0,3.7,10.0,37.5,,,,,,,,30.0,,,35.0,12.5,,,0.0,0.0,1.0,
280,165,740.0,3.4,,,40.0,40.0,,,40.0,,,,,,,30.0,,,1.0,0.0,0.0,0.0
281,166,770.0,3.6,,,,,,,,,50.0,40.0,50.0,50.0,,15.0,,,0.0,0.0,0.0,0.0
282,167,715.0,3.81,40.0,60.0,,55.0,,,55.0,,,50.0,,,,50.0,,,0.0,0.0,0.0,
283,168,700.0,3.6,20.0,,40.0,,,,,,,37.5,,,,32.5,,,0.0,0.0,0.0,
284,169,760.0,3.6,12.5,40.0,,,,,,,,32.5,,,,25.0,,,0.0,0.0,0.0,
285,170,700.0,3.7,10.0,,40.0,30.0,,,,,,20.0,,,50.0,15.0,,,0.0,0.0,0.0,0.0
286,171,770.0,3.2,15.0,40.0,30.0,30.0,30.0,,20.0,,40.0,27.5,,,50.0,20.0,40.0,35.0,0.0,0.0,0.0,0.0
287,172,680.0,3.3,10.0,,,50.0,,,35.0,,50.0,,,50.0,,20.0,,30.0,0.0,0.0,0.0,0.0
288,173,720.0,10.0,25.0,50.0,50.0,,,,,,,45.0,,,,35.0,,,0.0,0.0,0.0,0.0
289,174,760.0,3.1,25.0,,,,60.0,,,,50.0,40.0,,,,,,,1.0,0.0,0.0,1.0
290,175,750.0,3.3,,,50.0,,,,,,,32.5,,,,20.0,60.0,,0.0,0.0,0.0,0.0
291,176,700.0,3.3,15.0,,35.0,,,,,,30.0,,40.0,,,25.0,,30.0,1.0,0.0,0.0,1.0
292,177,740.0,3.63,,45.0,,45.0,45.0,,,,,40.0,,,,20.0,,,0.0,0.0,0.0,0.0
293,178,740.0,3.6,,45.0,45.0,,,,45.0,,50.0,37.5,,,,,,30.0,0.0,0.0,1.0,
294,179,700.0,3.64,15.0,,40.0,45.0,,,,,50.0,40.0,50.0,,,30.0,,,0.0,0.0,0.0,0.0
295,180,750.0,3.75,35.0,,60.0,60.0,60.0,,,,50.0,50.0,,,,45.0,,50.0,0.0,0.0,1.0,
296,181,740.0,3.7,,,50.0,,60.0,,50.0,,,50.0,,,,,,,0.0,0.0,0.0,1.0
297,182,710.0,3.17,,,35.0,35.0,,,,,,30.0,,,,15.0,,,0.0,0.0,0.0,0.0
298,183,760.0,8.5,,37.5,45.0,42.5,40.0,,25.0,,50.0,,,,50.0,,,45.0,0.0,0.0,0.0,0.0
299,184,710.0,3.47,15.0,,50.0,50.0,,,,,50.0,35.0,,,,35.0,,42.5,0.0,0.0,0.0,
300,185,760.0,2.76,,35.0,,,,,,50.0,,,,40.0,,,40.0,,0.0,0.0,1.0,0.0
301,186,720.0,3.3,20.0,,,,,,,,40.0,,,,,35.0,,40.0,1.0,0.0,0.0,1.0
302,187,710.0,3.8,,,30.0,,,,20.0,40.0,,,,30.0,,,,,0.0,0.0,0.0,
303,188,750.0,3.8,22.5,40.0,,,,,,,50.0,,50.0,,,,,40.0,1.0,0.0,0.0,0.0
304,189,730.0,3.1,,35.0,,,,,,,,32.5,,,55.0,,,,0.0,0.0,0.0,
305,190,700.0,3.4,,,,,,,,45.0,,,32.5,,,,,,0.0,0.0,0.0,
306,191,730.0,2.8,5.0,15.0,15.0,15.0,,,,,10.0,10.0,,,,5.0,,10.0,0.0,0.0,0.0,
307,192,760.0,3.57,22.5,,,45.0,,,45.0,,,35.0,,,,25.0,,45.0,1.0,0.0,1.0,
308,193,700.0,3.75,20.0,,,40.0,,,,,40.0,37.5,,45.0,,,,,0.0,0.0,0.0,0.0
309,194,710.0,3.7,25.0,,,,,,,,,50.0,,,,35.0,,,0.0,0.0,0.0,0.0
310,195,710.0,3.6,32.5,,50.0,,,,,,50.0,50.0,50.0,,,45.0,,50.0,1.0,1.0,0.0,0.0
311,196,700.0,7.8,15.0,,42.5,,,,25.0,,,37.5,,50.0,,27.5,,,0.0,0.0,0.0,1.0
312,197,740.0,3.4,20.0,,50.0,50.0,,,,,,50.0,,,,30.0,,50.0,1.0,0.0,0.0,0.0
313,198,790.0,4.0,35.0,,50.0,,50.0,,,,,50.0,,,,45.0,,,0.0,0.0,0.0,0.0
314,199,740.0,3.66,15.0,,45.0,45.0,,,45.0,,,,,,,,50.0,,0.0,0.0,0.0,0.0
315,200,690.0,3.85,25.0,,,,,,,,50.0,,50.0,50.0,,40.0,,,0.0,0.0,0.0,0.0
316,201,700.0,3.45,,40.0,40.0,40.0,,,,,,25.0,,,,15.0,,,0.0,0.0,0.0,0.0
317,202,780.0,3.4,20.0,,50.0,50.0,,,,,,,,,,30.0,,50.0,1.0,0.0,0.0,0.0
318,203,760.0,3.74,,,,,,,,,,,,,,20.0,,40.0,1.0,0.0,0.0,
319,204,690.0,2.96,12.5,,40.0,,,,,,,37.5,,50.0,,25.0,,,0.0,0.0,0.0,
320,205,730.0,3.47,25.0,35.0,42.5,,,,42.5,,,35.0,,,,30.0,,,0.0,0.0,1.0,
321,206,710.0,3.71,35.0,50.0,50.0,50.0,,,,,,45.0,,,,40.0,60.0,,0.0,1.0,0.0,
322,207,730.0,3.05,,,30.0,30.0,,,25.0,,40.0,,,,45.0,,40.0,15.0,1.0,0.0,0.0,0.0
323,208,700.0,3.9,20.0,35.0,45.0,,45.0,,35.0,,,35.0,,,,30.0,,,0.0,0.0,0.0,1.0
324,209,710.0,3.0,10.0,20.0,,,,30.0,,,,,,,,15.0,,,0.0,0.0,0.0,1.0
325,210,700.0,3.33,20.0,,,35.0,35.0,,,,,35.0,,,,25.0,,20.0,0.0,0.0,0.0,
326,211,720.0,3.8,35.0,,,,50.0,,,,50.0,,,,,40.0,,,0.0,0.0,0.0,1.0
327,212,760.0,3.5,30.0,,,,,,,,60.0,,60.0,,,40.0,,60.0,0.0,0.0,0.0,0.0
328,213,730.0,3.24,,20.0,35.0,,,35.0,,45.0,,,40.0,,,,40.0,,0.0,0.0,0.0,0.0
329,214,700.0,3.0,,,,,15.0,,,,,10.0,,,20.0,,,,0.0,0.0,0.0,0.0
330,215,670.0,3.4,,,,,,,,,,,,60.0,,,,,1.0,0.0,0.0,0.0
331,216,740.0,4.0,,40.0,40.0,40.0,,,,,,35.0,,,,22.5,,,0.0,0.0,0.0,
332,217,690.0,3.3,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
333,218,740.0,3.1,,25.0,35.0,30.0,,,32.5,,40.0,22.5,,,,,,20.0,0.0,0.0,0.0,0.0
334,219,750.0,10.0,10.0,,,35.0,,,,,,35.0,,,60.0,20.0,,,0.0,0.0,0.0,1.0
335,220,700.0,3.67,20.0,50.0,,50.0,50.0,,50.0,,40.0,35.0,50.0,,,20.0,,,0.0,0.0,0.0,1.0
336,221,710.0,3.69,25.0,50.0,50.0,,,,,,,40.0,,,,35.0,,45.0,0.0,0.0,1.0,1.0
337,222,690.0,3.3,,30.0,40.0,40.0,,,,,,,,,,,50.0,,0.0,0.0,0.0,0.0
338,223,700.0,3.95,,,45.0,45.0,,,,,,30.0,,,,,,,0.0,0.0,0.0,
339,224,700.0,2.9,,15.0,,,,,,,25.0,,,,,,,,0.0,0.0,0.0,1.0
340,225,750.0,3.43,,,,,,,,,60.0,,,,,50.0,,,1.0,0.0,0.0,1.0
341,226,730.0,3.12,5.0,25.0,35.0,25.0,,,,,35.0,20.0,,,,15.0,,20.0,0.0,0.0,1.0,0.0
342,227,,3.3,10.0,,45.0,,35.0,,,,,,,,45.0,15.0,,,1.0,0.0,0.0,
343,228,730.0,3.55,25.0,,50.0,,,,,,,45.0,,,,37.5,,,0.0,0.0,0.0,0.0
344,229,730.0,3.17,,,45.0,,,,45.0,,,37.5,,,,30.0,65.0,45.0,1.0,1.0,0.0,0.0
345,230,740.0,3.55,25.0,50.0,,50.0,,,,,,40.0,,,,35.0,,45.0,0.0,0.0,1.0,0.0
346,231,,3.7,25.0,,,50.0,,,,,,,,,,,,,0.0,0.0,1.0,1.0
347,232,750.0,3.45,25.0,50.0,,,,,,,50.0,,,,,35.0,,,0.0,0.0,0.0,0.0
348,233,800.0,3.67,,,35.0,,20.0,,20.0,,40.0,,,,,,,,0.0,0.0,0.0,0.0
349,234,770.0,3.9,30.0,,,,,,,,,50.0,,,,45.0,,,1.0,0.0,0.0,0.0
350,235,740.0,3.5,20.0,,,,,,,,,40.0,,,,30.0,,,1.0,0.0,0.0,0.0
351,236,700.0,3.75,,45.0,50.0,,,,,,,,50.0,50.0,,,,45.0,0.0,0.0,0.0,1.0
352,237,700.0,3.9,,,40.0,,,,40.0,,,,,50.0,,,40.0,,0.0,0.0,0.0,
353,238,720.0,3.5,35.0,,50.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0
354,239,720.0,3.6,10.0,,,,,,,,35.0,,,,,27.5,,,1.0,0.0,0.0,0.0
355,240,700.0,3.7,,,40.0,,,,,,,,,50.0,,,,35.0,1.0,0.0,0.0,0.0
356,241,730.0,3.65,,,,,,,,,,,,,,45.0,,50.0,1.0,0.0,0.0,
357,242,700.0,3.47,,30.0,35.0,30.0,25.0,,30.0,,,15.0,,40.0,,10.0,,,0.0,0.0,0.0,0.0
358,243,700.0,3.33,25.0,35.0,,35.0,,,35.0,,,30.0,,,,30.0,,,0.0,0.0,0.0,0.0
359,244,720.0,3.65,,,45.0,,,,45.0,,30.0,,50.0,,,,,30.0,0.0,0.0,0.0,0.0
360,245,710.0,3.7,10.0,,,,,,45.0,,,32.5,,,,20.0,,,0.0,0.0,0.0,0.0
361,246,650.0,3.5,,,40.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
362,247,780.0,3.5,15.0,,,,,,,,,50.0,,,,,,,0.0,0.0,0.0,0.0
363,248,650.0,3.5,10.0,,,,,,20.0,,20.0,,,,45.0,17.5,,,0.0,0.0,0.0,0.0
