,index,GMAT,GPA,Stanford,Columbia,Kellogg,Booth,Yale,NYU,Tuck,Cornell,Berkeley,Wharton,UCLA,Duke,INSEAD,Harvard,Michigan,Sloan,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
54,54,690.0,3.85,25.0,,,,,,,,50.0,,50.0,50.0,,40.0,,,0.0,0.0,0.0,0.0
55,55,700.0,3.45,,40.0,40.0,40.0,,,,,40.0,25.0,,,,15.0,,,0.0,0.0,0.0,0.0
56,56,780.0,3.4,20.0,,50.0,50.0,,,,,,,,,,30.0,,50.0,1.0,0.0,0.0,0.0
57,57,690.0,2.96,12.5,,40.0,,,,,,,37.5,,50.0,,25.0,,,0.0,0.0,0.0,0.0
58,58,730.0,3.47,25.0,35.0,42.5,,,,42.5,,,35.0,,,,30.0,,,0.0,1.0,1.0,0.0
59,59,700.0,3.33,20.0,,,35.0,35.0,,,,,35.0,,,,25.0,,20.0,0.0,0.0,0.0,0.0
60,60,720.0,3.8,35.0,,,,50.0,,,,50.0,,,,,40.0,,,0.0,0.0,0.0,1.0
61,61,760.0,3.5,30.0,,,,,,,,60.0,,60.0,,,40.0,,60.0,1.0,0.0,0.0,0.0
62,62,730.0,3.24,,20.0,35.0,,,35.0,,45.0,,,40.0,,,,40.0,,0.0,0.0,0.0,0.0
63,63,700.0,3.0,,,,,15.0,,,,,10.0,,,20.0,,,,0.0,0.0,0.0,0.0
64,64,670.0,3.4,,,,,,,,,,,,60.0,,,,,1.0,0.0,0.0,1.0
65,65,740.0,4.0,,40.0,40.0,40.0,,,,,,35.0,,,,22.5,,,0.0,0.0,0.0,1.0
66,66,740.0,3.1,,25.0,35.0,30.0,,,32.5,,40.0,22.5,,,,,,20.0,0.0,0.0,0.0,0.0
67,67,700.0,3.67,20.0,50.0,,50.0,50.0,,50.0,,40.0,35.0,50.0,,,20.0,,,0.0,0.0,0.0,1.0
68,68,710.0,3.69,25.0,50.0,50.0,,,,,,,40.0,,,,35.0,,45.0,0.0,0.0,1.0,1.0
69,69,690.0,3.3,,30.0,40.0,40.0,,,,,,,,,,,50.0,,0.0,0.0,0.0,0.0
70,70,700.0,3.95,,,45.0,45.0,,,,,,30.0,,,,25.0,,,0.0,0.0,0.0,1.0
71,71,720.0,3.3,10.0,32.5,45.0,,35.0,,,,,,,,45.0,15.0,,,1.0,0.0,0.0,
72,72,,3.7,25.0,,50.0,50.0,,,,,,,,,,,60.0,,0.0,0.0,1.0,1.0
73,73,660.0,3.67,,,35.0,,20.0,,20.0,,40.0,,,,,,,,0.0,0.0,0.0,1.0
74,74,700.0,3.9,,,40.0,,,,40.0,,,,,50.0,,,40.0,,0.0,0.0,0.0,1.0
75,75,720.0,3.5,35.0,50.0,50.0,,,,,,,,,,,,,,0.0,0.0,1.0,1.0
76,76,720.0,3.6,10.0,,,,,,,,35.0,,,,,27.5,,,1.0,0.0,0.0,0.0
77,77,700.0,3.7,,,40.0,,,,,,,,,50.0,,,,35.0,1.0,0.0,0.0,0.0
78,78,700.0,3.33,25.0,35.0,,35.0,,,35.0,,,30.0,,,,30.0,,,0.0,1.0,0.0,0.0
79,79,650.0,3.5,,,40.0,,30.0,,,,,,,40.0,50.0,,,,0.0,0.0,0.0,0.0
80,80,650.0,3.5,10.0,,,,,,20.0,,20.0,,,,45.0,17.5,,,0.0,0.0,0.0,0.0
81,81,,3.75,20.0,,40.0,,,,40.0,,,,,,,,,40.0,0.0,0.0,0.0,0.0
82,82,710.0,78.9,30.0,,50.0,,50.0,,,,,,,,,40.0,,,1.0,1.0,0.0,0.0
83,83,730.0,,,,35.0,,,,,,25.0,20.0,,35.0,,,,,1.0,0.0,0.0,0.0
84,84,700.0,3.7,20.0,,,,,,,,40.0,30.0,40.0,,,30.0,,,0.0,0.0,1.0,
85,85,760.0,3.6,,,,,,50.0,,,,35.0,,,,25.0,,,0.0,0.0,0.0,0.0
86,86,700.0,3.4,,20.0,,25.0,,,35.0,,25.0,20.0,,30.0,,20.0,,,0.0,0.0,0.0,0.0
87,87,660.0,,10.0,,,,,,,,,,,,35.0,15.0,,,0.0,0.0,,1.0
88,88,740.0,3.78,25.0,,50.0,50.0,,,50.0,,,45.0,,,,40.0,,,0.0,1.0,0.0,0.0
89,89,700.0,2.99,,,,,,,,22.5,22.5,,22.5,22.5,,,20.0,,0.0,0.0,0.0,1.0
90,90,710.0,3.22,,15.0,25.0,15.0,,30.0,,,,15.0,,,,,,12.5,0.0,0.0,0.0,0.0
91,91,,,25.0,50.0,,,50.0,,50.0,,,50.0,,,,35.0,,45.0,0.0,0.0,,
92,92,690.0,3.97,,25.0,,,,40.0,27.5,,,20.0,30.0,,40.0,,,,0.0,0.0,0.0,1.0
93,93,740.0,3.6,20.0,,50.0,,,,,,,,50.0,,,35.0,,,1.0,0.0,1.0,1.0
94,94,,3.7,5.0,20.0,30.0,,20.0,30.0,,,,,,,,,35.0,,0.0,0.0,0.0,0.0
95,95,,3.55,,40.0,,,45.0,50.0,,,,40.0,,50.0,,35.0,,40.0,0.0,0.0,0.0,1.0
96,96,720.0,3.75,,40.0,,,40.0,50.0,,,,30.0,,,,,,25.0,0.0,0.0,0.0,
97,97,750.0,3.18,17.5,,45.0,,45.0,,45.0,,,,,,,27.5,,,0.0,0.0,0.0,1.0
98,98,710.0,3.0,,,35.0,,,,,,,,,35.0,,,45.0,,0.0,0.0,0.0,
99,99,730.0,3.7,20.0,,,35.0,,,,,,35.0,,,,35.0,,35.0,1.0,0.0,0.0,1.0
