,Unnamed: 0,index,GMAT,GPA,Harvard,STEM_MAJOR,UNDER_REP,IVY_MIT_STANFORD_UNDERGRAD,FEMALE
285,285,170,700.0,3.7,15.0,0.0,0.0,0.0,0.0
286,286,171,770.0,3.2,20.0,0.0,0.0,0.0,0.0
287,287,172,680.0,3.3,20.0,0.0,0.0,0.0,0.0
288,288,173,720.0,10.0,35.0,0.0,0.0,0.0,0.0
290,290,175,750.0,3.3,20.0,0.0,0.0,0.0,0.0
291,291,176,700.0,3.3,25.0,1.0,0.0,0.0,1.0
292,292,177,740.0,3.63,20.0,0.0,0.0,0.0,0.0
294,294,179,700.0,3.64,30.0,0.0,0.0,0.0,0.0
297,297,182,710.0,3.17,15.0,0.0,0.0,0.0,0.0
301,301,186,720.0,3.3,35.0,1.0,0.0,0.0,1.0
309,309,194,710.0,3.7,35.0,0.0,0.0,0.0,0.0
310,310,195,710.0,3.6,45.0,1.0,1.0,0.0,0.0
311,311,196,700.0,7.8,27.5,0.0,0.0,0.0,1.0
312,312,197,740.0,3.4,30.0,1.0,0.0,0.0,0.0
313,313,198,790.0,4.0,45.0,0.0,0.0,0.0,0.0
315,315,200,690.0,3.85,40.0,0.0,0.0,0.0,0.0
316,316,201,700.0,3.45,15.0,0.0,0.0,0.0,0.0
317,317,202,780.0,3.4,30.0,1.0,0.0,0.0,0.0
323,323,208,700.0,3.9,30.0,0.0,0.0,0.0,1.0
324,324,209,710.0,3.0,15.0,0.0,0.0,0.0,1.0
326,326,211,720.0,3.8,40.0,0.0,0.0,0.0,1.0
327,327,212,760.0,3.5,40.0,0.0,0.0,0.0,0.0
334,334,219,750.0,10.0,20.0,0.0,0.0,0.0,1.0
335,335,220,700.0,3.67,20.0,0.0,0.0,0.0,1.0
336,336,221,710.0,3.69,35.0,0.0,0.0,1.0,1.0
340,340,225,750.0,3.43,50.0,1.0,0.0,0.0,1.0
341,341,226,730.0,3.12,15.0,0.0,0.0,1.0,0.0
343,343,228,730.0,3.55,37.5,0.0,0.0,0.0,0.0
344,344,229,730.0,3.17,30.0,1.0,1.0,0.0,0.0
345,345,230,740.0,3.55,35.0,0.0,0.0,1.0,0.0
347,347,232,750.0,3.45,35.0,0.0,0.0,0.0,0.0
349,349,234,770.0,3.9,45.0,1.0,0.0,0.0,0.0
350,350,235,740.0,3.5,30.0,1.0,0.0,0.0,0.0
354,354,239,720.0,3.6,27.5,1.0,0.0,0.0,0.0
357,357,242,700.0,3.47,10.0,0.0,0.0,0.0,0.0
358,358,243,700.0,3.33,30.0,0.0,0.0,0.0,0.0
360,360,245,710.0,3.7,20.0,0.0,0.0,0.0,0.0
363,363,248,650.0,3.5,17.5,0.0,0.0,0.0,0.0
