,GMAT,GPA,AGE,Stanford,Wharton,Tuck,Kellogg,Columbia,Duke,Michigan,Harvard,INSEAD,Booth,Yale,NYU,Sloan,Berkeley,Cornell,UCLA,UNIVERSITY_Tier 1,UNIVERSITY_Tier 2,UNIVERSITY_Tier 3,MAJOR_Business,MAJOR_Economics,MAJOR_Engineering,MAJOR_International Studies,GENDER_Female,GENDER_MALE,RACE_Asian,RACE_Black
49,740.0,3.9,26.0,15.0,40.0,,,,50.0,,,,45.0,,,35.0,45.0,,,0,0,1,0,1,0,0,0,1,1,0
50,710.0,3.7,27.0,,40.0,,,55.0,,,,,40.0,,,,,,,0,0,1,1,0,0,0,0,1,1,0
51,720.0,3.5,26.0,10.0,42.5,,,,,,,,,,,,45.0,,,0,0,1,1,0,0,0,1,0,1,0
52,700.0,3.1,26.0,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
53,700.0,3.0,,,-20.0,20.0,25.0,-30.0,30.0,,,,25.0,,,,,,,0,0,1,1,0,0,0,0,0,0,0
54,760.0,3.4,,,40.0,,,42.5,60.0,,,,,,50.0,,,,,0,0,1,0,1,0,0,0,0,0,0
55,680.0,2.6,2006.0,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
56,710.0,3.8,27.0,,,60.0,,60.0,,,,,60.0,,70.0,,,,,1,0,0,0,0,0,0,0,1,1,0
57,700.0,3.5,26.0,,,,,,30.0,,,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
58,700.0,3.55,27.0,,,,,,60.0,65.0,,,,50.0,,,,,,1,0,0,0,0,0,0,1,0,1,0
59,690.0,3.4,3.0,,32.5,,50.0,45.0,55.0,,,,,50.0,,,40.0,,,0,0,1,0,0,0,0,0,1,1,0
60,770.0,3.9,,,70.0,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0
61,690.0,3.5,5.0,20.0,,,35.0,,,,,,,,42.5,,,,45.0,0,0,1,0,1,0,0,1,0,1,0
62,660.0,3.5,,,,,,25.0,,,,,,,40.0,,,,40.0,0,0,1,0,0,0,0,0,0,0,0
63,570.0,3.9,,,,,,,,,25.0,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0
64,660.0,3.4,29.0,,10.0,,20.0,,,30.0,10.0,,,,,,,,,0,0,1,0,0,0,0,0,1,0,1
65,700.0,3.9,18.0,50.0,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,1,0,1,0
66,700.0,3.3,3.0,15.0,,25.0,,,,,20.0,,,30.0,,25.0,,,,0,0,1,0,0,1,0,0,1,1,0
67,710.0,3.97,23.0,,35.0,40.0,,,,,25.0,,,,,,,,,0,0,1,0,1,0,0,0,1,1,0
68,650.0,3.4,21.0,,25.0,,35.0,35.0,,,20.0,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
69,690.0,3.6,26.0,17.5,35.0,,,,,,27.5,,,50.0,,,,,,0,0,1,0,0,1,0,1,0,1,0
70,710.0,2.7,,-10.0,-15.0,,,,,,-10.0,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
71,710.0,3.91,2.5,,,,,,,,,40.0,,,,,,,,1,0,0,0,0,1,0,1,0,1,0
72,700.0,3.6,27.0,,20.0,,40.0,40.0,,,12.5,,40.0,,,,,,,0,0,1,1,0,0,0,0,0,1,0
73,690.0,3.24,25.0,,,,,,,,,,,,,,30.0,40.0,,0,0,1,0,1,0,0,0,1,0,1
74,720.0,3.8,24.0,20.0,,,,45.0,,,30.0,,45.0,,,,45.0,,,1,0,0,0,0,0,1,0,1,1,0
75,660.0,3.75,25.0,15.0,30.0,30.0,,35.0,42.5,,25.0,,,,,,,,,0,0,1,0,1,0,0,1,0,1,0
76,620.0,3.1,152.0,,,30.0,,,35.0,42.5,,,,,,,,42.5,,0,0,1,0,0,1,0,0,1,1,0
77,740.0,3.6,25.0,,,,45.0,,,,,,50.0,,,35.0,,,,1,0,0,0,0,0,0,1,0,1,0
78,740.0,3.7,50.0,30.0,,,50.0,,,,50.0,,50.0,,,50.0,,,,0,0,1,0,1,0,0,0,0,1,0
79,750.0,2.9,24.0,10.0,,,42.5,,,,-15.0,,,,,37.5,,,,0,0,1,0,0,1,0,0,1,0,1
80,720.0,2.75,100.0,,15.0,,30.0,,35.0,40.0,,,,40.0,,,,40.0,,1,0,0,0,0,1,0,0,0,1,0
81,720.0,3.63,26.0,25.0,,,40.0,,,,,,35.0,,,,45.0,,50.0,0,0,1,0,1,0,0,0,1,1,0
82,660.0,3.4,26.0,,,,25.0,,,,,,,,,,,,25.0,0,0,1,1,0,0,0,0,1,1,0
83,,3.9,30.0,30.0,,,,,50.0,,30.0,,,,,45.0,,,,0,0,1,0,0,0,0,0,0,1,0
84,720.0,3.5,15.0,25.0,40.0,,,45.0,,,40.0,,50.0,,,,50.0,,,1,0,0,0,1,0,0,0,0,1,0
85,710.0,3.33,25.0,,20.0,,20.0,25.0,30.0,35.0,10.0,,20.0,,35.0,25.0,,,,0,0,1,0,0,1,0,0,1,1,0
86,700.0,3.1,250.0,,,30.0,,,,,,,,,35.0,,,45.0,,0,0,1,0,0,1,0,0,1,1,0
87,,3.89,27.0,,,,45.0,40.0,50.0,,,,,45.0,45.0,,,,,0,0,1,0,1,0,0,0,1,1,0
88,730.0,3.88,26.0,10.0,25.0,,30.0,,,,15.0,,,,,30.0,25.0,,,0,0,1,0,1,0,0,0,1,1,0
89,710.0,3.4,29.0,,,,,20.0,,,10.0,,,,30.0,,35.0,,40.0,0,0,1,0,1,0,0,1,0,1,0
90,730.0,3.2,,10.0,,,15.0,,,,,,,20.0,,,20.0,,35.0,0,0,1,0,0,0,0,0,0,0,0
91,640.0,,28.0,10.0,35.0,40.0,45.0,,,,25.0,40.0,,,,,,,,0,0,1,1,0,0,0,0,0,1,0
92,720.0,3.8,28.0,-10.0,-20.0,,,-20.0,,,-10.0,40.0,-20.0,,-20.0,,,,,0,0,1,0,0,0,0,0,1,1,0
93,720.0,3.4,27.0,10.0,32.5,,30.0,25.0,,,10.0,,30.0,,,30.0,,,,0,0,1,0,0,1,0,0,1,1,0
94,680.0,3.2,2.0,,40.0,,,,,,30.0,65.0,,,,,,,,0,0,1,0,1,0,0,0,0,1,0
95,740.0,3.7,50.0,32.5,,50.0,,50.0,,,40.0,,50.0,,,,,,,1,0,0,0,0,0,0,0,0,1,0
96,670.0,3.95,44.0,20.0,,50.0,45.0,37.5,,,30.0,,50.0,,,,,,,0,0,1,1,0,0,0,0,1,1,0
97,720.0,3.56,27.0,20.0,35.0,,45.0,40.0,,,30.0,,45.0,50.0,45.0,40.0,,,,1,0,0,0,0,0,0,0,1,1,0
98,740.0,2.4,40.0,,25.0,,,20.0,30.0,30.0,15.0,,30.0,,,,,,,0,0,1,0,0,0,0,0,1,1,0
99,710.0,3.4,28.0,25.0,50.0,50.0,,,,,40.0,,,,,,,,,1,0,0,0,0,0,0,0,1,1,0
100,,,,,25.0,,,,,,,,,,40.0,,20.0,,,0,0,1,0,1,0,0,0,0,0,0
101,720.0,3.7,3.5,15.0,45.0,,,45.0,,,25.0,,,,,30.0,,,,1,0,0,0,1,0,0,0,0,1,0
102,720.0,3.72,100.0,,40.0,,40.0,40.0,,,25.0,,40.0,,50.0,,,,,0,0,1,0,1,0,0,0,0,1,0
103,730.0,3.7,,17.5,37.5,,40.0,40.0,,,27.5,,35.0,,,30.0,50.0,,,1,0,0,0,1,0,0,0,0,0,0
104,680.0,3.48,7.0,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,1,0
105,630.0,3.43,200.0,10.0,20.0,20.0,,,40.0,,10.0,,20.0,,25.0,,,,25.0,0,0,1,0,0,0,0,0,1,1,0
106,710.0,3.7,25.0,10.0,,,,,,,12.5,,,,,30.0,20.0,,30.0,1,0,0,0,0,0,0,0,1,1,0
107,740.0,3.0,29.0,,,,,30.0,,,,,,40.0,40.0,30.0,,40.0,,0,0,1,0,0,1,0,0,1,1,0
108,740.0,,25.0,-10.0,15.0,,20.0,,,,10.0,,20.0,20.0,20.0,,,,,0,0,1,0,0,1,0,0,0,1,0
109,760.0,,26.0,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,1
110,720.0,3.5,200.0,20.0,35.0,45.0,50.0,,,,35.0,,,,,,,,,0,0,1,0,0,0,0,0,1,1,0
111,720.0,3.5,,,25.0,,,37.5,,,,,,,32.5,,,,,0,0,1,0,1,0,0,0,0,0,0
112,730.0,3.8,,30.0,50.0,,,,,,45.0,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0
113,720.0,3.2,25.0,25.0,37.5,32.5,,35.0,,,35.0,,,35.0,,,50.0,,,1,0,0,0,1,0,0,0,1,1,0
114,770.0,3.93,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0
115,730.0,2.7,33.0,,10.0,20.0,20.0,,,,,,20.0,20.0,,10.0,,,,1,0,0,0,0,1,0,0,1,1,0
116,710.0,3.5,,10.0,,,20.0,30.0,,,,,,20.0,,,,,,0,0,1,0,0,0,0,0,0,0,0
117,710.0,3.26,27.0,,10.0,15.0,,10.0,,,,,,20.0,,10.0,,,,0,0,1,0,1,0,0,0,0,1,0
118,730.0,3.76,1.5,10.0,35.0,30.0,35.0,35.0,,,20.0,,40.0,,,30.0,,,,0,0,1,0,1,0,0,0,1,1,0
119,740.0,3.1,26.0,,15.0,,32.5,,35.0,,,,32.5,,40.0,,25.0,,,0,0,1,0,1,0,0,1,0,1,0
120,700.0,3.48,25.0,10.0,,25.0,40.0,20.0,,,17.5,,40.0,30.0,40.0,,,,,0,0,1,0,0,0,0,0,1,1,0
121,760.0,3.6,3.0,20.0,40.0,50.0,,45.0,,,25.0,,47.5,,,,,,,0,0,1,0,1,0,0,0,0,1,0
122,700.0,2.9,5.0,,37.5,25.0,30.0,,40.0,,,,40.0,,,25.0,,,,0,0,1,0,0,1,0,0,0,1,0
123,710.0,3.76,,,37.5,37.5,,,50.0,,17.5,,,,,25.0,,,,0,0,1,0,1,0,0,0,0,0,0
124,750.0,3.4,500.0,17.5,,,40.0,40.0,,,35.0,,40.0,,,35.0,,,,0,0,1,0,1,0,0,0,1,1,0
125,730.0,3.9,28.0,25.0,50.0,,,,,,35.0,,,,,50.0,,,,0,0,1,0,0,0,0,0,1,1,0
126,790.0,3.76,3.0,30.0,50.0,50.0,,,,,45.0,,50.0,,,50.0,,,,0,0,1,0,0,1,0,0,0,1,0
127,710.0,3.85,24.0,30.0,50.0,,,,,,35.0,,50.0,,,,,,,0,0,1,0,1,0,0,0,1,1,0
128,700.0,3.6,24.0,,50.0,,,50.0,,,30.0,,,,60.0,45.0,,,,1,0,0,0,0,0,0,1,0,1,0
129,740.0,3.0,,,,35.0,,,,,17.5,,,40.0,,,,,,0,0,1,0,0,0,0,0,0,0,0
130,730.0,3.5,500.0,10.0,30.0,,,,,,22.5,,40.0,,50.0,,,,,0,0,1,1,0,0,0,0,0,1,0
131,730.0,3.75,,,,,,,,,27.5,,,,,45.0,,,,0,0,1,0,0,1,0,0,0,0,0
132,700.0,3.25,,,25.0,,32.5,40.0,42.5,,,,32.5,,30.0,,,,,0,0,1,0,1,0,0,0,0,0,0
133,750.0,8.0,26.0,12.5,35.0,35.0,40.0,40.0,,,17.5,,,,45.0,,,,,0,0,1,0,1,0,0,0,1,1,0
134,700.0,3.9,27.0,25.0,,,,,,,35.0,,,,,45.0,50.0,,,0,0,1,0,0,0,0,1,0,1,0
135,690.0,3.3,25.0,,,25.0,,,35.0,35.0,10.0,,,30.0,,,,,,0,0,1,0,0,1,0,0,1,1,0
136,640.0,3.4,29.0,,,,,,20.0,20.0,,,15.0,,,10.0,10.0,20.0,,0,0,1,0,0,0,0,0,1,1,0
137,720.0,3.6,25.0,12.5,,,45.0,,50.0,,27.5,50.0,,,,,,,,1,0,0,0,0,0,0,1,0,1,0
138,770.0,2.5,29.0,20.0,,,50.0,,,,40.0,,50.0,,50.0,50.0,,,,0,0,1,0,0,1,0,0,1,1,0
139,730.0,3.63,140.0,30.0,50.0,,,,,,45.0,,50.0,,,,,,,0,0,1,0,1,0,0,0,0,1,0
140,690.0,2.8,29.0,5.0,5.0,,,,,,5.0,,,,,,,,,0,0,1,0,0,0,0,0,0,1,0
141,760.0,3.5,50.0,30.0,,,50.0,,50.0,,,,,,,40.0,50.0,,,0,0,1,0,0,1,0,0,0,1,0
142,740.0,3.9,4.0,15.0,40.0,,,50.0,,,25.0,,,,,,,,50.0,0,0,1,0,1,0,0,0,0,1,0
143,740.0,3.9,27.0,17.5,45.0,,,,,,37.5,,50.0,,,45.0,,,,0,0,1,0,0,0,0,0,1,1,0
144,,3.87,24.0,27.5,50.0,,50.0,,,,40.0,,,,,50.0,,,,0,0,1,0,0,0,0,0,1,1,0
145,740.0,4.0,26.0,30.0,,50.0,,,,,37.5,,,,,50.0,,,,1,0,0,0,0,0,0,0,1,1,0
146,710.0,3.32,100.0,,,,40.0,,40.0,50.0,,,30.0,,50.0,,,50.0,,0,0,1,0,1,0,0,0,1,1,0
147,780.0,3.87,20.0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,1,0,1,0
148,720.0,3.6,10.0,,,50.0,,,,,35.0,,50.0,,,,50.0,,,0,0,1,0,0,0,0,0,1,1,0
149,740.0,3.2,,25.0,40.0,,50.0,50.0,,,35.0,,50.0,,,50.0,50.0,,,0,0,1,0,0,1,0,0,0,0,0
150,710.0,3.4,220.0,15.0,,,,45.0,,,20.0,,,,,35.0,40.0,,,0,0,1,1,0,0,0,0,1,1,0
151,710.0,3.35,27.0,,,30.0,,,,,20.0,,,,,30.0,,,,0,0,1,0,0,0,1,1,0,1,0
152,700.0,,31.0,,,15.0,15.0,20.0,,,,25.0,,,15.0,,,,,0,0,1,0,0,0,0,0,1,1,0
153,,3.1,4.0,5.0,,,20.0,,,,10.0,,20.0,20.0,,,,,,0,0,1,0,0,0,0,0,1,1,0
154,740.0,3.8,,10.0,37.5,,40.0,,,,25.0,,40.0,,,,,,,0,0,1,1,0,0,0,0,0,0,0
155,750.0,3.95,25.0,20.0,37.5,40.0,45.0,40.0,,,27.5,,45.0,,,,,,,0,0,1,0,1,0,0,0,1,1,0
156,620.0,3.53,25.0,25.0,40.0,45.0,,45.0,,,42.5,,,50.0,,,40.0,,,1,0,0,0,0,0,0,0,1,0,1
157,760.0,7.1,7.37,,,45.0,45.0,,45.0,,,,,45.0,,,40.0,,,0,0,1,0,0,1,0,0,1,1,0
